Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6410
Sample Name,2-Butanol
Formula,C4H10O
Molecular Weight (g/mol),74.122
Sample Weight (g),2.0000
Water Temp (deg C),24.31
Room Temp (deg C),25.31
Water Volume (L),2.0
Wire Before (g),0.025
Wire After (g),0.022
=====,=====
Time (s),Temperature (C)
0.00,24.31
30.00,24.30
60.00,24.33
90.00,24.31
120.00,24.31
150.00,24.33
180.00,24.32
210.00,24.33
240.00,24.32
270.00,24.32
300.00,24.30
330.00,25.69
360.00,27.81
390.00,29.39
420.00,30.34
450.00,30.87
480.00,31.19
510.00,31.37
540.00,31.43
570.00,31.50
600.00,31.52
630.00,31.51
660.00,31.51
690.00,31.50
720.00,31.52
750.00,31.52
780.00,31.50
810.00,31.51
840.00,31.52
870.00,31.52
900.00,31.50
930.00,31.51
960.00,31.49
