Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6410
Sample Name,Aspirin
Formula,C9H8O4
Molecular Weight (g/mol),180.157
Sample Weight (g),2.0000
Water Temp (deg C),21.58
Room Temp (deg C),22.58
Water Volume (L),2.0
Wire Before (g),0.023
Wire After (g),0.021
=====,=====
Time (s),Temperature (C)
0.00,22.58
30.00,22.57
60.00,22.57
90.00,22.57
120.00,22.56
150.00,22.59
180.00,22.60
210.00,22.57
240.00,22.60
270.00,22.59
300.00,22.60
330.00,22.60
360.00,22.58
390.00,22.59
420.00,22.57
450.00,22.60
480.00,22.58
510.00,22.57
540.00,22.58
570.00,22.57
600.00,22.56
630.00,22.56
660.00,22.59
690.00,22.59
720.00,22.59
750.00,22.60
780.00,22.57
810.00,22.56
840.00,22.58
870.00,22.58
900.00,22.59
930.00,22.58
960.00,22.56
