Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6410
Sample Name,Azulene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),2.0000
Water Temp (deg C),24.46
Room Temp (deg C),25.46
Water Volume (L),2.0
Wire Before (g),0.024
Wire After (g),0.019
=====,=====
Time (s),Temperature (C)
0.00,24.46
30.00,24.47
60.00,24.47
90.00,24.47
120.00,24.46
150.00,24.47
180.00,24.46
210.00,24.44
240.00,24.45
270.00,24.47
300.00,24.47
330.00,26.09
360.00,28.53
390.00,30.30
420.00,31.43
450.00,32.05
480.00,32.42
510.00,32.59
540.00,32.69
570.00,32.77
600.00,32.77
630.00,32.78
660.00,32.78
690.00,32.76
720.00,32.76
750.00,32.79
780.00,32.79
810.00,32.76
840.00,32.76
870.00,32.76
900.00,32.74
930.00,32.75
960.00,32.75
