Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6410
Sample Name,Benzil
Formula,C14H10O2
Molecular Weight (g/mol),210.222
Sample Weight (g),2.0000
Water Temp (deg C),23.62
Room Temp (deg C),24.62
Water Volume (L),2.0
Wire Before (g),0.027
Wire After (g),0.021
=====,=====
Time (s),Temperature (C)
0.00,24.62
30.00,24.63
60.00,24.61
90.00,24.62
120.00,24.62
150.00,24.61
180.00,24.61
210.00,24.63
240.00,24.62
270.00,24.61
300.00,24.61
330.00,24.61
360.00,24.63
390.00,24.62
420.00,24.60
450.00,24.63
480.00,24.61
510.00,24.61
540.00,24.60
570.00,24.61
600.00,24.63
630.00,24.61
660.00,24.63
690.00,24.63
720.00,24.62
750.00,24.61
780.00,24.61
810.00,24.62
840.00,24.63
870.00,24.61
900.00,24.63
930.00,24.63
960.00,24.60
