Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6410
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),2.0000
Water Temp (deg C),21.00
Room Temp (deg C),22.12
Water Volume (L),2.0
Wire Before (g),0.023
Wire After (g),0.017
=====,=====
Time (s),Temperature (C)
0.00,22.12
30.00,22.14
60.00,22.12
90.00,22.10
120.00,22.13
150.00,22.12
180.00,22.12
210.00,22.10
240.00,22.11
270.00,22.13
300.00,22.11
330.00,22.12
360.00,22.13
390.00,22.10
420.00,22.12
450.00,22.13
480.00,22.10
510.00,22.14
540.00,22.12
570.00,22.10
600.00,22.11
630.00,22.10
660.00,22.13
690.00,22.13
720.00,22.11
750.00,22.10
780.00,22.11
810.00,22.12
840.00,22.14
870.00,22.11
900.00,22.13
930.00,22.13
960.00,22.13
