Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6410
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),2.0000
Water Temp (deg C),24.00
Room Temp (deg C),22.38
Water Volume (L),2.0
Wire Before (g),0.022
Wire After (g),0.015
=====,=====
Time (s),Temperature (C)
0.00,22.38
30.00,22.37
60.00,22.39
90.00,22.38
120.00,22.38
150.00,22.38
180.00,22.36
210.00,22.37
240.00,22.38
270.00,22.39
300.00,22.39
330.00,22.36
360.00,22.38
390.00,22.38
420.00,22.38
450.00,22.39
480.00,22.37
510.00,22.40
540.00,22.38
570.00,22.38
600.00,22.38
630.00,22.40
660.00,22.38
690.00,22.38
720.00,22.36
750.00,22.37
780.00,22.39
810.00,22.40
840.00,22.36
870.00,22.37
900.00,22.36
930.00,22.38
960.00,22.37
