Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6410
Sample Name,Biphenyl
Formula,C12H10
Molecular Weight (g/mol),154.212
Sample Weight (g),2.0000
Water Temp (deg C),22.22
Room Temp (deg C),23.22
Water Volume (L),2.0
Wire Before (g),0.028
Wire After (g),0.020
=====,=====
Time (s),Temperature (C)
0.00,22.22
30.00,22.22
60.00,22.23
90.00,22.21
120.00,22.22
150.00,22.21
180.00,22.21
210.00,22.21
240.00,22.21
270.00,22.21
300.00,22.21
330.00,23.82
360.00,26.21
390.00,27.98
420.00,29.05
450.00,29.69
480.00,30.03
510.00,30.18
540.00,30.29
570.00,30.36
600.00,30.38
630.00,30.40
660.00,30.38
690.00,30.39
720.00,30.36
750.00,30.38
780.00,30.38
810.00,30.36
840.00,30.36
870.00,30.37
900.00,30.34
930.00,30.35
960.00,30.36
