Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6410
Sample Name,Capric Acid
Formula,C10H20O2
Molecular Weight (g/mol),172.257
Sample Weight (g),2.0000
Water Temp (deg C),22.70
Room Temp (deg C),23.70
Water Volume (L),2.0
Wire Before (g),0.027
Wire After (g),0.023
=====,=====
Time (s),Temperature (C)
0.00,22.70
30.00,22.70
60.00,22.70
90.00,22.68
120.00,22.70
150.00,22.69
180.00,22.71
210.00,22.70
240.00,22.70
270.00,22.71
300.00,22.69
330.00,24.07
360.00,26.19
390.00,27.72
420.00,28.66
450.00,29.18
480.00,29.50
510.00,29.64
540.00,29.75
570.00,29.78
600.00,29.82
630.00,29.81
660.00,29.81
690.00,29.82
720.00,29.82
750.00,29.80
780.00,29.81
810.00,29.78
840.00,29.80
870.00,29.81
900.00,29.79
930.00,29.78
960.00,29.76
