Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6410
Sample Name,Cyclobutanol
Formula,C4H7OH
Molecular Weight (g/mol),56.107
Sample Weight (g),2.0000
Water Temp (deg C),22.11
Room Temp (deg C),23.11
Water Volume (L),2.0
Wire Before (g),0.030
Wire After (g),0.023
=====,=====
Time (s),Temperature (C)
0.00,23.11
30.00,23.12
60.00,23.13
90.00,23.11
120.00,23.12
150.00,23.10
180.00,23.12
210.00,23.13
240.00,23.09
270.00,23.10
300.00,23.12
330.00,23.13
360.00,23.11
390.00,23.13
420.00,23.09
450.00,23.13
480.00,23.10
510.00,23.12
540.00,23.13
570.00,23.10
600.00,23.11
630.00,23.13
660.00,23.11
690.00,23.12
720.00,23.12
750.00,23.09
780.00,23.13
810.00,23.12
840.00,23.10
870.00,23.12
900.00,23.10
930.00,23.10
960.00,23.10
