Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6410
Sample Name,Decane
Formula,C10H22
Molecular Weight (g/mol),142.285
Sample Weight (g),2.0000
Water Temp (deg C),23.68
Room Temp (deg C),24.68
Water Volume (L),2.0
Wire Before (g),0.022
Wire After (g),0.016
=====,=====
Time (s),Temperature (C)
0.00,23.68
30.00,23.67
60.00,23.67
90.00,23.70
120.00,23.69
150.00,23.67
180.00,23.70
210.00,23.69
240.00,23.68
270.00,23.71
300.00,23.69
330.00,25.55
360.00,28.36
390.00,30.40
420.00,31.66
450.00,32.38
480.00,32.80
510.00,32.99
540.00,33.12
570.00,33.17
600.00,33.21
630.00,33.23
660.00,33.22
690.00,33.22
720.00,33.20
750.00,33.21
780.00,33.19
810.00,33.21
840.00,33.19
870.00,33.18
900.00,33.18
930.00,33.17
960.00,33.19
