Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6410
Sample Name,Ethanol
Formula,C2H6O
Molecular Weight (g/mol),46.069
Sample Weight (g),2.0000
Water Temp (deg C),21.73
Room Temp (deg C),22.73
Water Volume (L),2.0
Wire Before (g),0.023
Wire After (g),0.017
=====,=====
Time (s),Temperature (C)
0.00,21.73
30.00,21.71
60.00,21.74
90.00,21.73
120.00,21.71
150.00,21.72
180.00,21.74
210.00,21.74
240.00,21.72
270.00,21.75
300.00,21.74
330.00,22.88
360.00,24.65
390.00,25.93
420.00,26.73
450.00,27.19
480.00,27.46
510.00,27.57
540.00,27.66
570.00,27.68
600.00,27.72
630.00,27.72
660.00,27.72
690.00,27.71
720.00,27.70
750.00,27.72
780.00,27.71
810.00,27.70
840.00,27.69
870.00,27.71
900.00,27.68
930.00,27.70
960.00,27.67
