Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6410
Sample Name,Fumaric Acid
Formula,C4H4O4
Molecular Weight (g/mol),116.052
Sample Weight (g),2.0000
Water Temp (deg C),22.71
Room Temp (deg C),23.71
Water Volume (L),2.0
Wire Before (g),0.025
Wire After (g),0.016
=====,=====
Time (s),Temperature (C)
0.00,23.71
30.00,23.72
60.00,23.69
90.00,23.73
120.00,23.72
150.00,23.73
180.00,23.70
210.00,23.69
240.00,23.72
270.00,23.73
300.00,23.70
330.00,23.70
360.00,23.72
390.00,23.70
420.00,23.71
450.00,23.70
480.00,23.73
510.00,23.70
540.00,23.72
570.00,23.73
600.00,23.71
630.00,23.72
660.00,23.71
690.00,23.73
720.00,23.72
750.00,23.73
780.00,23.72
810.00,23.72
840.00,23.71
870.00,23.69
900.00,23.73
930.00,23.71
960.00,23.71
