Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6410
Sample Name,Lauric Acid
Formula,C12H24O2
Molecular Weight (g/mol),200.311
Sample Weight (g),2.0000
Water Temp (deg C),21.78
Room Temp (deg C),22.78
Water Volume (L),2.0
Wire Before (g),0.022
Wire After (g),0.017
=====,=====
Time (s),Temperature (C)
0.00,22.78
30.00,22.80
60.00,22.76
90.00,22.78
120.00,22.79
150.00,22.77
180.00,22.78
210.00,22.77
240.00,22.80
270.00,22.77
300.00,22.77
330.00,22.77
360.00,22.78
390.00,22.77
420.00,22.78
450.00,22.79
480.00,22.78
510.00,22.79
540.00,22.77
570.00,22.77
600.00,22.80
630.00,22.79
660.00,22.78
690.00,22.79
720.00,22.76
750.00,22.76
780.00,22.78
810.00,22.78
840.00,22.78
870.00,22.76
900.00,22.79
930.00,22.78
960.00,22.77
