Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6410
Sample Name,Maleic Acid
Formula,C4H4O4
Molecular Weight (g/mol),116.052
Sample Weight (g),2.0000
Water Temp (deg C),21.63
Room Temp (deg C),22.63
Water Volume (L),2.0
Wire Before (g),0.027
Wire After (g),0.024
=====,=====
Time (s),Temperature (C)
0.00,21.63
30.00,21.61
60.00,21.61
90.00,21.63
120.00,21.64
150.00,21.64
180.00,21.62
210.00,21.65
240.00,21.64
270.00,21.63
300.00,21.65
330.00,22.08
360.00,22.80
390.00,23.31
420.00,23.62
450.00,23.79
480.00,23.89
510.00,23.92
540.00,23.97
570.00,23.97
600.00,23.97
630.00,23.98
660.00,24.00
690.00,23.99
720.00,23.98
750.00,23.98
780.00,24.01
810.00,24.01
840.00,24.00
870.00,23.98
900.00,24.01
930.00,23.99
960.00,24.00
