Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6410
Sample Name,Maleic Anhydride
Formula,C4H2O3
Molecular Weight (g/mol),98.042
Sample Weight (g),2.0000
Water Temp (deg C),22.78
Room Temp (deg C),23.78
Water Volume (L),2.0
Wire Before (g),0.028
Wire After (g),0.025
=====,=====
Time (s),Temperature (C)
0.00,23.78
30.00,23.77
60.00,23.76
90.00,23.76
120.00,23.79
150.00,23.78
180.00,23.76
210.00,23.76
240.00,23.76
270.00,23.78
300.00,23.77
330.00,23.79
360.00,23.79
390.00,23.77
420.00,23.78
450.00,23.77
480.00,23.78
510.00,23.76
540.00,23.77
570.00,23.79
600.00,23.78
630.00,23.77
660.00,23.76
690.00,23.79
720.00,23.79
750.00,23.79
780.00,23.76
810.00,23.79
840.00,23.78
870.00,23.76
900.00,23.79
930.00,23.77
960.00,23.78
