Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6410
Sample Name,Maltitol
Formula,C12H24O11
Molecular Weight (g/mol),344.310
Sample Weight (g),2.0000
Water Temp (deg C),23.15
Room Temp (deg C),24.15
Water Volume (L),2.0
Wire Before (g),0.021
Wire After (g),0.013
=====,=====
Time (s),Temperature (C)
0.00,23.15
30.00,23.17
60.00,23.17
90.00,23.16
120.00,23.17
150.00,23.15
180.00,23.16
210.00,23.15
240.00,23.15
270.00,23.17
300.00,23.17
330.00,23.55
360.00,24.17
390.00,24.58
420.00,24.86
450.00,25.00
480.00,25.10
510.00,25.15
540.00,25.16
570.00,25.17
600.00,25.17
630.00,25.18
660.00,25.21
690.00,25.19
720.00,25.18
750.00,25.20
780.00,25.19
810.00,25.19
840.00,25.20
870.00,25.20
900.00,25.17
930.00,25.18
960.00,25.19
