Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6410
Sample Name,Myristic Acid
Formula,C14H28O2
Molecular Weight (g/mol),228.365
Sample Weight (g),2.0000
Water Temp (deg C),23.76
Room Temp (deg C),24.76
Water Volume (L),2.0
Wire Before (g),0.021
Wire After (g),0.017
=====,=====
Time (s),Temperature (C)
0.00,23.76
30.00,23.75
60.00,23.78
90.00,23.78
120.00,23.76
150.00,23.77
180.00,23.75
210.00,23.77
240.00,23.78
270.00,23.78
300.00,23.76
330.00,25.27
360.00,27.51
390.00,29.13
420.00,30.15
450.00,30.73
480.00,31.05
510.00,31.26
540.00,31.33
570.00,31.38
600.00,31.41
630.00,31.43
660.00,31.41
690.00,31.42
720.00,31.43
750.00,31.42
780.00,31.42
810.00,31.42
840.00,31.40
870.00,31.39
900.00,31.38
930.00,31.37
960.00,31.37
