Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6410
Sample Name,Naphthalene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),2.0000
Water Temp (deg C),23.17
Room Temp (deg C),24.17
Water Volume (L),2.0
Wire Before (g),0.024
Wire After (g),0.021
=====,=====
Time (s),Temperature (C)
0.00,23.17
30.00,23.17
60.00,23.17
90.00,23.18
120.00,23.18
150.00,23.18
180.00,23.17
210.00,23.18
240.00,23.16
270.00,23.15
300.00,23.18
330.00,24.75
360.00,27.13
390.00,28.89
420.00,29.94
450.00,30.55
480.00,30.92
510.00,31.07
540.00,31.17
570.00,31.22
600.00,31.24
630.00,31.27
660.00,31.26
690.00,31.28
720.00,31.27
750.00,31.24
780.00,31.26
810.00,31.24
840.00,31.23
870.00,31.25
900.00,31.24
930.00,31.23
960.00,31.21
