Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6410
Sample Name,Naproxen
Formula,C14H14O3
Molecular Weight (g/mol),230.260
Sample Weight (g),2.0000
Water Temp (deg C),23.83
Room Temp (deg C),24.83
Water Volume (L),2.0
Wire Before (g),0.026
Wire After (g),0.017
=====,=====
Time (s),Temperature (C)
0.00,23.83
30.00,23.82
60.00,23.83
90.00,23.84
120.00,23.81
150.00,23.84
180.00,23.84
210.00,23.83
240.00,23.82
270.00,23.84
300.00,23.83
330.00,25.04
360.00,26.82
390.00,28.16
420.00,28.99
450.00,29.47
480.00,29.70
510.00,29.87
540.00,29.93
570.00,29.98
600.00,29.99
630.00,30.00
660.00,30.01
690.00,29.99
720.00,29.99
750.00,29.98
780.00,29.97
810.00,29.96
840.00,29.99
870.00,29.96
900.00,29.98
930.00,29.96
960.00,29.95
