Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6410
Sample Name,Palmitic Acid
Formula,C16H32O2
Molecular Weight (g/mol),256.419
Sample Weight (g),2.0000
Water Temp (deg C),22.37
Room Temp (deg C),23.37
Water Volume (L),2.0
Wire Before (g),0.021
Wire After (g),0.012
=====,=====
Time (s),Temperature (C)
0.00,23.37
30.00,23.38
60.00,23.38
90.00,23.37
120.00,23.37
150.00,23.37
180.00,23.36
210.00,23.37
240.00,23.37
270.00,23.37
300.00,23.35
330.00,23.39
360.00,23.37
390.00,23.38
420.00,23.39
450.00,23.39
480.00,23.37
510.00,23.37
540.00,23.39
570.00,23.36
600.00,23.38
630.00,23.37
660.00,23.36
690.00,23.36
720.00,23.39
750.00,23.38
780.00,23.39
810.00,23.37
840.00,23.36
870.00,23.37
900.00,23.39
930.00,23.35
960.00,23.38
