Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6410
Sample Name,Sorbitol
Formula,C6H14O6
Molecular Weight (g/mol),182.170
Sample Weight (g),2.0000
Water Temp (deg C),24.43
Room Temp (deg C),25.43
Water Volume (L),2.0
Wire Before (g),0.024
Wire After (g),0.015
=====,=====
Time (s),Temperature (C)
0.00,24.43
30.00,24.41
60.00,24.44
90.00,24.41
120.00,24.43
150.00,24.43
180.00,24.42
210.00,24.42
240.00,24.42
270.00,24.41
300.00,24.42
330.00,25.09
360.00,26.06
390.00,26.79
420.00,27.22
450.00,27.49
480.00,27.64
510.00,27.71
540.00,27.75
570.00,27.75
600.00,27.77
630.00,27.78
660.00,27.76
690.00,27.76
720.00,27.75
750.00,27.77
780.00,27.75
810.00,27.78
840.00,27.77
870.00,27.76
900.00,27.77
930.00,27.77
960.00,27.75
