Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6410
Sample Name,Stearic Acid
Formula,C18H36O2
Molecular Weight (g/mol),284.473
Sample Weight (g),2.0000
Water Temp (deg C),24.75
Room Temp (deg C),25.75
Water Volume (L),2.0
Wire Before (g),0.028
Wire After (g),0.023
=====,=====
Time (s),Temperature (C)
0.00,25.75
30.00,25.74
60.00,25.73
90.00,25.76
120.00,25.75
150.00,25.73
180.00,25.75
210.00,25.73
240.00,25.76
270.00,25.74
300.00,25.74
330.00,25.75
360.00,25.74
390.00,25.75
420.00,25.76
450.00,25.76
480.00,25.75
510.00,25.75
540.00,25.74
570.00,25.73
600.00,25.74
630.00,25.74
660.00,25.75
690.00,25.75
720.00,25.73
750.00,25.73
780.00,25.73
810.00,25.74
840.00,25.75
870.00,25.76
900.00,25.74
930.00,25.76
960.00,25.76
