Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6410
Sample Name,Sucrose
Formula,C12H22O11
Molecular Weight (g/mol),342.241
Sample Weight (g),2.0000
Water Temp (deg C),21.65
Room Temp (deg C),22.65
Water Volume (L),2.0
Wire Before (g),0.029
Wire After (g),0.025
=====,=====
Time (s),Temperature (C)
0.00,21.65
30.00,21.65
60.00,21.66
90.00,21.64
120.00,21.66
150.00,21.65
180.00,21.66
210.00,21.63
240.00,21.66
270.00,21.66
300.00,21.66
330.00,22.28
360.00,23.27
390.00,23.99
420.00,24.43
450.00,24.68
480.00,24.82
510.00,24.90
540.00,24.94
570.00,24.96
600.00,24.97
630.00,24.99
660.00,24.98
690.00,24.97
720.00,24.98
750.00,24.97
780.00,24.96
810.00,24.96
840.00,24.94
870.00,24.97
900.00,24.95
930.00,24.97
960.00,24.96
