Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6410
Sample Name,α-D-Galactose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),2.0000
Water Temp (deg C),24.23
Room Temp (deg C),25.23
Water Volume (L),2.0
Wire Before (g),0.027
Wire After (g),0.023
=====,=====
Time (s),Temperature (C)
0.00,24.23
30.00,24.25
60.00,24.23
90.00,24.25
120.00,24.22
150.00,24.23
180.00,24.25
210.00,24.24
240.00,24.25
270.00,24.22
300.00,24.23
330.00,24.85
360.00,25.77
390.00,26.44
420.00,26.85
450.00,27.11
480.00,27.22
510.00,27.31
540.00,27.34
570.00,27.38
600.00,27.38
630.00,27.36
660.00,27.39
690.00,27.38
720.00,27.36
750.00,27.37
780.00,27.37
810.00,27.37
840.00,27.36
870.00,27.35
900.00,27.37
930.00,27.36
960.00,27.34
