Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6410
Sample Name,α-D-Glucose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),2.0000
Water Temp (deg C),21.08
Room Temp (deg C),22.08
Water Volume (L),2.0
Wire Before (g),0.021
Wire After (g),0.014
=====,=====
Time (s),Temperature (C)
0.00,22.08
30.00,22.09
60.00,22.08
90.00,22.07
120.00,22.09
150.00,22.07
180.00,22.10
210.00,22.09
240.00,22.08
270.00,22.06
300.00,22.07
330.00,22.10
360.00,22.06
390.00,22.06
420.00,22.08
450.00,22.08
480.00,22.10
510.00,22.08
540.00,22.07
570.00,22.09
600.00,22.06
630.00,22.08
660.00,22.07
690.00,22.08
720.00,22.08
750.00,22.07
780.00,22.07
810.00,22.10
840.00,22.10
870.00,22.07
900.00,22.08
930.00,22.09
960.00,22.06
