Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6410
Sample Name,β-D-Fructose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),2.0000
Water Temp (deg C),23.15
Room Temp (deg C),24.15
Water Volume (L),2.0
Wire Before (g),0.027
Wire After (g),0.025
=====,=====
Time (s),Temperature (C)
0.00,23.15
30.00,23.16
60.00,23.16
90.00,23.16
120.00,23.14
150.00,23.15
180.00,23.12
210.00,23.14
240.00,23.16
270.00,23.13
300.00,23.15
330.00,23.76
360.00,24.67
390.00,25.36
420.00,25.76
450.00,26.00
480.00,26.14
510.00,26.23
540.00,26.24
570.00,26.30
600.00,26.30
630.00,26.31
660.00,26.29
690.00,26.29
720.00,26.31
750.00,26.29
780.00,26.30
810.00,26.29
840.00,26.29
870.00,26.31
900.00,26.30
930.00,26.30
960.00,26.27
